GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopping-cart,com.groupd.config,GlobalExceptionHandler,23,7,2,0,5,2,2,2,1,2
shopping-cart,com.groupd.config,MyAccessDeniedHandler,33,7,2,0,5,2,2,2,1,2
shopping-cart,com.groupd.config,SpringSecurityConfig,0,101,0,0,0,30,0,4,0,4
shopping-cart,com.groupd.service.impl,UserServiceImp,33,12,0,0,6,5,3,1,3,1
shopping-cart,com.groupd.service.impl,ShoppingCartServiceImpl,171,0,12,0,29,0,13,0,7,0
shopping-cart,com.groupd.service.impl,ProductServiceImpl,10,6,0,0,2,3,2,1,2,1
shopping-cart,com.groupd,ShoppingCartApplication,5,3,0,0,2,1,1,1,1,1
shopping-cart,com.groupd.util,Pager,46,0,4,0,10,0,10,0,8,0
shopping-cart,com.groupd.exception,NotEnoughProductsInStockException,21,0,0,0,4,0,2,0,2,0
shopping-cart,com.groupd.model,User,56,3,0,0,24,1,16,1,16,1
shopping-cart,com.groupd.model,Product,62,3,6,0,20,1,15,1,12,1
shopping-cart,com.groupd.model,Role,21,3,0,0,9,1,6,1,6,1
shopping-cart,com.groupd.controller,LoginController,6,3,2,0,3,1,2,1,1,1
shopping-cart,com.groupd.controller,RegistrationController,75,6,6,0,19,3,5,1,2,1
shopping-cart,com.groupd.controller,HomeController,50,6,2,0,8,3,2,1,1,1
shopping-cart,com.groupd.controller,CustomErrorController,10,5,0,0,2,2,2,2,2,2
shopping-cart,com.groupd.controller,ShoppingCartController,65,9,0,0,13,4,4,1,4,1
